0.186768,928
0.840454,946
1.56006,972
2.21375,994
2.93335,1018
3.59253,1042
4.24622,1070
4.94934,1100
5.60852,1134
6.32812,1164
6.98181,1194
7.6355,1232
8.3551,1264
9.01428,1308
9.73389,1350
10.3876,1392
11.0907,1440
11.7499,1466
12.5299,1446
13.233,1438
13.9526,1438
14.6667,1420
15.3699,1426
16.0895,1432
16.8091,1430
17.5122,1426
18.2318,1416
18.9514,1414
19.6545,1420
20.3741,1412
21.0938,1404
21.7969,1400
22.511,1392
23.2306,1392
23.9337,1382
24.6533,1386
25.3729,1384
26.076,1382
26.7957,1392
27.5153,1396
28.2184,1384
28.9325,1378
29.6356,1376
30.3552,1374
31.0748,1376
31.778,1378
32.4976,1378
33.2172,1386
33.9203,1384
34.6509,1384
35.3705,1386
36.0901,1388
36.8262,1390
37.5458,1390
38.2654,1394
38.996,1394
39.7156,1402
40.4352,1408
41.1713,1418
41.8854,1410
42.605,1410
43.3411,1416
44.0607,1420
44.7803,1422
45.5109,1428
46.2305,1432
46.9501,1428
47.6862,1428
48.4058,1428
49.1199,1444
49.7955,1456
50.5151,1462
51.2457,1466
51.9653,1474
52.6849,1480
53.465,1426
54.201,1416
54.9207,1372
55.7007,1336
56.4203,1298
57.2003,1264
57.9364,1230
58.7,1174
59.48,1158
60.2161,1162
60.9961,1106
61.7761,1062
62.4957,1052
63.2153,1040
63.9954,1018
64.715,996
65.495,982
66.2311,962
67.0111,942
67.7307,924
68.5107,906
69.2303,890
70.0104,864
70.7959,840
71.5155,826
72.2461,824
72.9657,832
73.6853,822
74.4653,812
75.8551,820
76.9098,0
77.2449,860
78.3765,0
78.5468,638
79.3268,626
80.0903,614
80.8264,610
81.546,610
82.2656,610
82.9962,610
84.9738,0
85.2319,455
86.0614,435
86.9019,423
87.6874,411
88.5114,402
89.2969,395
90.0769,390
90.8569,384
91.5765,379
92.3566,375
93.1366,372
93.8562,368
94.6362,363
95.3723,362
96.1523,360
96.8719,358
97.652,356
98.3716,354
99.0912,353
99.8273,352
100.607,351
101.327,351
102.047,350
102.777,350
103.497,349
104.216,349
104.952,350
105.667,351
106.386,351
107.073,352
107.792,353
108.528,354
109.265,356
109.935,358
110.671,360
111.341,363
112.077,365
112.747,368
113.417,373
114.153,375
114.824,380
115.499,385
116.23,390
116.906,396
117.576,402
118.262,409
118.932,414
119.542,427
120.234,435
120.839,449
121.514,463
122.921,472
123.096,0
124.217,1032
124.563,0
124.953,1030
125.299,0
125.684,1032
126.03,0
126.42,1026
128.386,768
